date,vemquartile,outcome,value,type
2021-03-01,1,cases,6582,observed
2021-03-01,1,hosps,480,observed
2021-03-01,1,deaths,80,observed
2021-03-01,2,cases,5784,observed
2021-03-01,2,hosps,398,observed
2021-03-01,2,deaths,81,observed
2021-03-01,3,cases,4221,observed
2021-03-01,3,hosps,232,observed
2021-03-01,3,deaths,29,observed
2021-03-01,4,cases,3443,observed
2021-03-01,4,hosps,152,observed
2021-03-01,4,deaths,15,observed
2021-03-08,1,cases,5776,observed
2021-03-08,1,hosps,454,observed
2021-03-08,1,deaths,89,observed
2021-03-08,2,cases,4996,observed
2021-03-08,2,hosps,308,observed
2021-03-08,2,deaths,38,observed
2021-03-08,3,cases,3822,observed
2021-03-08,3,hosps,194,observed
2021-03-08,3,deaths,32,observed
2021-03-08,4,cases,2961,observed
2021-03-08,4,hosps,145,observed
2021-03-08,4,deaths,23,observed
2021-03-15,1,cases,4841,observed
2021-03-15,1,hosps,372,observed
2021-03-15,1,deaths,78,observed
2021-03-15,2,cases,4294,observed
2021-03-15,2,hosps,320,observed
2021-03-15,2,deaths,58,observed
2021-03-15,3,cases,3486,observed
2021-03-15,3,hosps,183,observed
2021-03-15,3,deaths,25,observed
2021-03-15,4,cases,2841,observed
2021-03-15,4,hosps,102,observed
2021-03-15,4,deaths,10,observed
2021-03-22,1,cases,4498,observed
2021-03-22,1,hosps,333,observed
2021-03-22,1,deaths,57,observed
2021-03-22,2,cases,4085,observed
2021-03-22,2,hosps,281,observed
2021-03-22,2,deaths,49,observed
2021-03-22,3,cases,3809,observed
2021-03-22,3,hosps,187,observed
2021-03-22,3,deaths,19,observed
2021-03-22,4,cases,3064,observed
2021-03-22,4,hosps,102,observed
2021-03-22,4,deaths,8,observed
2021-03-29,1,cases,4231,observed
2021-03-29,1,hosps,348,observed
2021-03-29,1,deaths,58,observed
2021-03-29,2,cases,4107,observed
2021-03-29,2,hosps,245,observed
2021-03-29,2,deaths,34,observed
2021-03-29,3,cases,3644,observed
2021-03-29,3,hosps,174,observed
2021-03-29,3,deaths,29,observed
2021-03-29,4,cases,3152,observed
2021-03-29,4,hosps,105,observed
2021-03-29,4,deaths,10,observed
2021-04-05,1,cases,4213,observed
2021-04-05,1,hosps,356,observed
2021-04-05,1,deaths,60,observed
2021-04-05,2,cases,4260,observed
2021-04-05,2,hosps,256,observed
2021-04-05,2,deaths,39,observed
2021-04-05,3,cases,3948,observed
2021-04-05,3,hosps,185,observed
2021-04-05,3,deaths,20,observed
2021-04-05,4,cases,3219,observed
2021-04-05,4,hosps,136,observed
2021-04-05,4,deaths,16,observed
2021-04-12,1,cases,3840,observed
2021-04-12,1,hosps,323,observed
2021-04-12,1,deaths,46,observed
2021-04-12,2,cases,3915,observed
2021-04-12,2,hosps,267,observed
2021-04-12,2,deaths,29,observed
2021-04-12,3,cases,3624,observed
2021-04-12,3,hosps,181,observed
2021-04-12,3,deaths,21,observed
2021-04-12,4,cases,3112,observed
2021-04-12,4,hosps,140,observed
2021-04-12,4,deaths,9,observed
2021-04-19,1,cases,3491,observed
2021-04-19,1,hosps,324,observed
2021-04-19,1,deaths,44,observed
2021-04-19,2,cases,3623,observed
2021-04-19,2,hosps,262,observed
2021-04-19,2,deaths,43,observed
2021-04-19,3,cases,3047,observed
2021-04-19,3,hosps,171,observed
2021-04-19,3,deaths,19,observed
2021-04-19,4,cases,2560,observed
2021-04-19,4,hosps,117,observed
2021-04-19,4,deaths,14,observed
2021-04-26,1,cases,3230,observed
2021-04-26,1,hosps,296,observed
2021-04-26,1,deaths,49,observed
2021-04-26,2,cases,3280,observed
2021-04-26,2,hosps,225,observed
2021-04-26,2,deaths,30,observed
2021-04-26,3,cases,2737,observed
2021-04-26,3,hosps,137,observed
2021-04-26,3,deaths,16,observed
2021-04-26,4,cases,2122,observed
2021-04-26,4,hosps,120,observed
2021-04-26,4,deaths,11,observed
2021-05-03,1,cases,3066,observed
2021-05-03,1,hosps,287,observed
2021-05-03,1,deaths,32,observed
2021-05-03,2,cases,3036,observed
2021-05-03,2,hosps,205,observed
2021-05-03,2,deaths,37,observed
2021-05-03,3,cases,2324,observed
2021-05-03,3,hosps,150,observed
2021-05-03,3,deaths,28,observed
2021-05-03,4,cases,1739,observed
2021-05-03,4,hosps,98,observed
2021-05-03,4,deaths,6,observed
2021-05-10,1,cases,2609,observed
2021-05-10,1,hosps,207,observed
2021-05-10,1,deaths,32,observed
2021-05-10,2,cases,2581,observed
2021-05-10,2,hosps,166,observed
2021-05-10,2,deaths,21,observed
2021-05-10,3,cases,1835,observed
2021-05-10,3,hosps,113,observed
2021-05-10,3,deaths,14,observed
2021-05-10,4,cases,1468,observed
2021-05-10,4,hosps,83,observed
2021-05-10,4,deaths,9,observed
2021-05-17,1,cases,2226,observed
